date,510300.SH,510500.SH,513500.SH,511260.SH,518880.SH
2015-01-05,2.889,4.472,0.567,97.294,2.414
2015-01-06,2.864,4.544,0.557,97.294,2.435
2015-01-07,2.863,4.547,0.554,97.294,2.445
2015-01-08,2.783,4.503,0.564,97.294,2.431
2015-01-09,2.757,4.478,0.572,97.294,2.439
2015-01-12,2.746,4.41,0.567,97.294,2.458
2015-01-13,2.739,4.475,0.561,97.294,2.471
2015-01-14,2.731,4.457,0.559,97.294,2.466
2015-01-15,2.831,4.534,0.558,97.294,2.462
2015-01-16,2.863,4.578,0.556,97.294,2.518
2015-01-19,2.497,4.369,0.558,97.294,2.567
2015-01-20,2.618,4.531,0.56,97.294,2.57
2015-01-21,2.773,4.65,0.562,97.294,2.62
2015-01-22,2.779,4.731,0.567,97.294,2.589
2015-01-23,2.796,4.684,0.576,97.294,2.607
2015-01-26,2.83,4.79,0.569,97.294,2.609
2015-01-27,2.794,4.802,0.571,97.294,2.589
2015-01-28,2.737,4.777,0.565,97.294,2.598
2015-01-29,2.7,4.746,0.558,97.294,2.585
2015-01-30,2.657,4.687,0.562,97.294,2.542
2015-02-02,2.58,4.665,0.556,97.294,2.586
2015-02-03,2.659,4.756,0.562,97.294,2.588
2015-02-04,2.62,4.731,0.567,97.294,2.56
2015-02-05,2.58,4.696,0.564,97.294,2.576
2015-02-06,2.53,4.6,0.568,97.294,2.564
2015-02-09,2.568,4.572,0.568,97.294,2.504
2015-02-10,2.635,4.631,0.565,97.294,2.514
2015-02-11,2.657,4.684,0.572,97.294,2.504
2015-02-12,2.671,4.724,0.571,97.294,2.479
2015-02-13,2.693,4.802,0.579,97.294,2.496
2015-02-16,2.722,4.902,0.58,97.294,2.498
2015-02-17,2.753,4.927,0.581,97.294,2.488
2015-02-25,2.699,4.914,0.586,97.294,2.466
2015-02-26,2.802,4.977,0.585,97.294,2.464
2015-02-27,2.795,5.03,0.585,97.294,2.465
2015-03-02,2.823,5.142,0.585,97.294,2.485
2015-03-03,2.725,5.104,0.589,97.294,2.467
2015-03-04,2.754,5.207,0.588,97.294,2.459
2015-03-05,2.724,5.195,0.587,97.294,2.449
2015-03-06,2.702,5.117,0.589,97.294,2.439
2015-03-09,2.77,5.207,0.583,97.294,2.389
2015-03-10,2.745,5.238,0.583,97.294,2.368
2015-03-11,2.75,5.235,0.573,97.294,2.369
2015-03-12,2.814,5.229,0.575,97.294,2.372
2015-03-13,2.834,5.298,0.578,97.294,2.359
2015-03-16,2.923,5.475,0.576,97.294,2.374
2015-03-17,2.97,5.553,0.581,97.294,2.358
2015-03-18,3.069,5.643,0.579,97.294,2.341
2015-03-19,3.049,5.702,0.586,97.294,2.363
2015-03-20,3.103,5.755,0.583,97.294,2.354
